order_no,status,datetime,outlet,service_type,service_number,sale_date,shift,terminal,placed_by,closed_by,table_info,items,discount_type,discount_amount,total
016757,Completed,14-06-2026 08:59:15 PM,Default Outlet,Delivery,# 9,14-06-2026,Default Shift,Default Terminal,Admin,Admin,,Cheesy Rice Bowl (qty: 2) | BBQ Rice Bowl (qty: 1),Staff Discount,60.00,300.00
016756,Completed,14-06-2026 08:59:07 PM,Default Outlet,Delivery,# 8,14-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ Rice Bowl (qty: 3) | Lolipop Rice Bowl (qty: 1),Staff Discount,80.00,400.00
016755,Completed,14-06-2026 07:43:26 PM,Default Outlet,Delivery,# 7,14-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ &amp; Sausage Combo Offer 12” (qty: 1) + Small (৳199.00) | BBQ Chicken (qty: 2),,,"1,168.00"
016754,Completed,14-06-2026 06:45:48 PM,Default Outlet,Delivery,# 6,14-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ &amp; Sausage Combo Offer 12” (qty: 1),,,770.00
016753,Completed,14-06-2026 05:14:06 PM,Default Outlet,Dine-in,# 5,14-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 4,Chicken Sausage (qty: 1) + Small (৳189.00),,,189.00
016752,Deleted,14-06-2026 03:17:58 PM,Default Outlet,Dine-in,# 15,14-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 7,Chicken Sausage (qty: 1) + Large (৳389.00),,,389.00
016751,Completed,14-06-2026 02:23:13 PM,Default Outlet,Dine-in,# 2,14-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 4,Delicious Pepperoni (qty: 1) + Medium (৳309.00),,,309.00
016750,Completed,14-06-2026 01:59:15 PM,Default Outlet,Delivery,# 3,14-06-2026,Default Shift,Default Terminal,Admin,Admin,,Lolipop Rice Bowl (qty: 2),Staff Discount,40.00,200.00
016749,Completed,13-06-2026 10:07:48 PM,Default Outlet,Takeaway,# 11,13-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,BBQ Chicken (qty: 1) + Medium (৳299.00),,,299.00
016748,Completed,13-06-2026 09:11:11 PM,Default Outlet,Dine-in,# 8,13-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,Fresh Water (qty: 1) | Chicken Lolipop 6pc (qty: 1) | Classic Meat Box (qty: 1),,,409.00
016747,Completed,13-06-2026 08:54:25 PM,Default Outlet,Delivery,# 10,13-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Medium (৳299.00) | Mixed Pasta (qty: 1),Staff Discount,100.00,429.00
016746,Completed,13-06-2026 08:54:11 PM,Default Outlet,Delivery,# 9,13-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Large (৳399.00),,,399.00
016745,Completed,13-06-2026 08:49:07 PM,Default Outlet,Dine-in,# 7,13-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 6,Two Flavour Mixed (qty: 1) + Small (৳200.00),,,200.00
016744,Completed,13-06-2026 06:35:05 PM,Default Outlet,Dine-in,# 6,13-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,Pizza Italian (qty: 1) + Small (৳225.00) | Fresh Water (qty: 1),,,245.00
016743,Completed,13-06-2026 06:21:29 PM,Default Outlet,Dine-in,# 3,13-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 6,Chicken Sausage (qty: 1) + Medium (৳289.00) | Soft Drinks (qty: 1) | Fresh Water (qty: 1),,,334.00
016742,Completed,13-06-2026 06:17:29 PM,Default Outlet,Delivery,# 5,13-06-2026,Default Shift,Default Terminal,Admin,Admin,,Regular Pasta (qty: 1),,,200.00
016741,Completed,13-06-2026 06:14:40 PM,Default Outlet,Dine-in,# 4,13-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,Two Flavour Mixed (qty: 1) + Small (৳200.00) | Fresh Water (qty: 1),,,220.00
016740,Deleted,13-06-2026 03:28:14 PM,Default Outlet,Delivery,# 2,13-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Large (৳399.00),,,399.00
016739,Completed,13-06-2026 01:30:35 PM,Default Outlet,Delivery,# 1,13-06-2026,Default Shift,Default Terminal,Admin,Admin,,Two Flavour Mixed (qty: 1) + Large (৳400.00),,,400.00
016738,Completed,12-06-2026 09:16:36 PM,Default Outlet,Dine-in,# 11,12-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 4,BBQ Chicken (qty: 1) + Large (৳399.00),,,399.00
016737,Completed,12-06-2026 09:04:04 PM,Default Outlet,Dine-in,# 10,12-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 6,Two Flavour Mixed (qty: 2) + Large (৳400.00),,,800.00
016736,Completed,12-06-2026 08:42:45 PM,Default Outlet,Dine-in,# 9,12-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,Naga Spicy Chicken (qty: 1) + Small (৳200.00) | Fresh Water (qty: 1),,,220.00
016735,Completed,12-06-2026 08:31:42 PM,Default Outlet,Dine-in,# 8,12-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,BBQ Chicken (qty: 1) + Medium (৳299.00) | Soft Drinks (qty: 1) | Fresh Water (qty: 1),,,344.00
016734,Deleted,12-06-2026 08:14:11 PM,Default Outlet,Delivery,# 2,12-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Large (৳399.00) | French Fry (qty: 1) | White Sauce Pasta (qty: 2),,,519.00
016733,Completed,12-06-2026 07:32:21 PM,Default Outlet,Delivery,# 7,12-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ &amp; Sausage Combo Offer 12” (qty: 1),,,770.00
016732,Completed,12-06-2026 06:36:28 PM,Default Outlet,Delivery,# 6,12-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ &amp; Sausage Combo Offer 12” (qty: 1),,,770.00
016731,Completed,12-06-2026 06:22:08 PM,Default Outlet,Dine-in,# 4,12-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 4,BBQ Chicken (qty: 1) + Large (৳399.00) | Fresh Water (qty: 2),,,439.00
016730,Completed,12-06-2026 06:06:00 PM,Default Outlet,Dine-in,# 1,12-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 6,BBQ Chicken (qty: 1) + Medium (৳299.00) | Fresh Water (qty: 1),,,319.00
016729,Completed,12-06-2026 06:01:45 PM,Default Outlet,Delivery,# 3,12-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Large (৳399.00) | Regular Pasta (qty: 1) | French Fry (qty: 1),,,719.00
016728,Completed,11-06-2026 09:38:50 PM,Default Outlet,Dine-in,# 21,11-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,BBQ Pizza 6&quot;+Chicken Pop 6 piece+ Wedges 6 Pieces (qty: 1) | Fresh Water (qty: 1),,,419.00
016727,Completed,11-06-2026 08:55:47 PM,Default Outlet,Dine-in,# 20,11-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,BBQ Chicken (qty: 1) + Large (৳399.00) | Soft Drinks (qty: 2),,,449.00
016726,Completed,11-06-2026 08:06:23 PM,Default Outlet,Dine-in,# 12,11-06-2026,Default Shift,Default Terminal,Admin,Admin,,Naga Spicy Chicken (qty: 1) + Small (৳200.00),,,200.00
016725,Completed,11-06-2026 08:00:38 PM,Default Outlet,Dine-in,# 11,11-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,Mixed Pasta (qty: 1) | Chicken Lolipop 6pc (qty: 1) | Fresh Water (qty: 1) | Soft Drinks (qty: 1),,,445.00
016724,Completed,11-06-2026 07:34:56 PM,Default Outlet,Dine-in,# 10,11-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,All in one Chicken (qty: 1) + Medium (৳355.00),,,355.00
016723,Completed,11-06-2026 07:17:44 PM,Default Outlet,Dine-in,# 7,11-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,Chicken Sausage (qty: 1) + Small (৳189.00),Staff Discount,29.00,160.00
016722,Completed,11-06-2026 07:13:37 PM,Default Outlet,Dine-in,# 8,11-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,"Classic Meatball Pizza (qty: 1) + 12"" (৳665.00) | Mixed Pasta (qty: 1) | Fresh Water (qty: 1)",Staff Discount,265.00,650.00
016721,Completed,11-06-2026 05:56:57 PM,Default Outlet,Delivery,# 3,11-06-2026,Default Shift,Default Terminal,Admin,Admin,,Onion Star (qty: 1) + Medium (৳335.00) | Potato Masala Wedges (qty: 1) | Chicken Pop (qty: 1),,,584.00
016720,Completed,11-06-2026 05:47:11 PM,Default Outlet,Takeaway,# 4,11-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,Two Flavour Mixed (qty: 1) + Small (৳200.00),,,200.00
016719,Completed,11-06-2026 05:13:57 PM,Default Outlet,Dine-in,# 2,11-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,Red Chilli Pasta (qty: 1) | French Fry (qty: 1),,,300.00
016718,Completed,11-06-2026 03:25:29 PM,Default Outlet,Dine-in,# 1,11-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,Corridor Special Pizza (qty: 1) + Large (৳595.00) | Chocolate Cold Coffee (qty: 1),,,675.00
016717,Completed,10-06-2026 08:49:10 PM,Default Outlet,Delivery,# 8,10-06-2026,Default Shift,Default Terminal,Admin,Admin,,Chicken Sausage (qty: 1) + Small (৳189.00) | Potato Masala Wedges (qty: 1),,,288.00
016716,Completed,10-06-2026 07:46:46 PM,Default Outlet,Delivery,# 7,10-06-2026,Default Shift,Default Terminal,Admin,Admin,,"Two Flavour Mixed (qty: 1) + Medium (৳300.00) | Classic Meatball Pizza (qty: 1) + 12"" (৳665.00)",Staff Discount,300.00,665.00
016715,Completed,10-06-2026 07:46:38 PM,Default Outlet,Delivery,# 6,10-06-2026,Default Shift,Default Terminal,Admin,Admin,,Two Flavour Mixed (qty: 1) + Small (৳200.00) | Two Flavour Mixed (qty: 1) + Medium (৳300.00),,,500.00
016714,Completed,10-06-2026 06:33:18 PM,Default Outlet,Dine-in,# 4,10-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,BBQ Chicken (qty: 1) + Large (৳399.00) | Soft Drinks (qty: 2),,,449.00
016713,Completed,10-06-2026 05:56:54 PM,Default Outlet,Dine-in,# 2,10-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,Pizza Italian (qty: 1) + Large (৳425.00) | Soft Drinks (qty: 2),,,475.00
016712,Completed,10-06-2026 05:20:35 PM,Default Outlet,Delivery,# 3,10-06-2026,Default Shift,Default Terminal,Admin,Admin,,Two Flavour Mixed (qty: 1) + Small (৳200.00),,,200.00
016711,Completed,10-06-2026 04:08:32 PM,Default Outlet,Dine-in,# 1,09-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,Chicken Sausage (qty: 2) + Large (৳389.00),,,778.00
016710,Completed,09-06-2026 11:10:14 PM,Default Outlet,Dine-in,# 16,09-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,BBQ &amp; Sausage Combo Offer 9” (qty: 1) | Garlic Mayonnaise (qty: 1),,,554.00
016709,Completed,09-06-2026 09:40:43 PM,Default Outlet,Dine-in,# 15,09-06-2026,Default Shift,Default Terminal,Admin,Admin,,Naga Spicy Chicken (qty: 1) + Small (৳200.00) | Chocolate Cold Coffee (qty: 1),,,280.00
016708,Completed,09-06-2026 09:40:17 PM,Default Outlet,Dine-in,# 14,09-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,Chicken Sausage (qty: 1) + Large (৳389.00) | Fresh Water (qty: 1),,,409.00
016707,Completed,09-06-2026 09:25:45 PM,Default Outlet,Delivery,# 13,09-06-2026,Default Shift,Default Terminal,Admin,Admin,,Two Flavour Mixed (qty: 1) + Medium (৳300.00),,,300.00
016706,Completed,09-06-2026 09:15:43 PM,Default Outlet,Dine-in,# 10,09-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 6,Mexican Hot (qty: 1) + Medium (৳295.00) | Soft Drinks (qty: 1) | Chocolate Cold Coffee (qty: 1),,,400.00
016705,Completed,09-06-2026 08:51:23 PM,Default Outlet,Delivery,# 12,09-06-2026,Default Shift,Default Terminal,Admin,Admin,,Two Flavour Mixed (qty: 1) + Small (৳200.00),,,200.00
016704,Completed,09-06-2026 08:38:04 PM,Default Outlet,Dine-in,# 11,09-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,Two Flavour Mixed (qty: 1) + Large (৳400.00) | Fresh Water (qty: 1) | Soft Drinks (qty: 3),,,495.00
016703,Completed,09-06-2026 07:45:12 PM,Default Outlet,Takeaway,# 9,09-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 3) + Small (৳199.00) | Fresh Water (qty: 1),,,617.00
016702,Completed,09-06-2026 07:18:57 PM,Default Outlet,Delivery,# 8,09-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Large (৳399.00),,,399.00
016701,Completed,09-06-2026 06:19:27 PM,Default Outlet,Dine-in,# 7,09-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 4,Two Flavour Mixed (qty: 1) + Medium (৳300.00) | Soft Drinks (qty: 2),,,350.00
016700,Completed,09-06-2026 06:18:25 PM,Default Outlet,Dine-in,# 6,09-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,Arabian Combo (qty: 1) | Soft Drinks (qty: 2) | Chicken Shawarma (qty: 1) | Chicken Lolipop 6pc (qty: 1),,,630.00
016699,Completed,09-06-2026 05:55:21 PM,Default Outlet,Dine-in,# 5,09-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,Two Flavour Mixed (qty: 1) + Medium (৳300.00),,,300.00
016698,Completed,09-06-2026 04:39:24 PM,Default Outlet,Delivery,# 4,09-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,20.00,179.00
016697,Completed,09-06-2026 04:36:14 PM,Default Outlet,Takeaway,# 3,09-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Large (৳399.00),,,399.00
016696,Completed,09-06-2026 03:11:29 PM,Default Outlet,Dine-in,# 2,09-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 6,Lolipop Rice Bowl (qty: 1) | BBQ Rice Bowl (qty: 1) | Fresh Water (qty: 1) | Soft Drinks (qty: 1),Staff Discount,5.00,280.00
016695,Completed,09-06-2026 02:45:27 PM,Default Outlet,Dine-in,# 1,09-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 8,All in one Chicken (qty: 1) + Medium (৳355.00) | Corridor Special Pasta (qty: 1) | Chocolate Milk Shake (qty: 2) | Fresh Water (qty: 1),,,885.00
016694,Completed,08-06-2026 09:09:27 PM,Default Outlet,Dine-in,# 8,08-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,BBQ Chicken (qty: 1) + Large (৳399.00) | Double Cheese Pizza (qty: 1) + Medium (৳325.00) | Soft Drinks (qty: 4),,,824.00
016693,Completed,08-06-2026 08:49:08 PM,Default Outlet,Delivery,# 5,08-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ &amp; Sausage Combo Offer 9” (qty: 1) | Classic Meat Box (qty: 2),,,977.00
016692,Completed,08-06-2026 08:40:26 PM,Default Outlet,Dine-in,# 7,08-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 6,Two Flavour Mixed (qty: 1) + Medium (৳300.00) | Fresh Water (qty: 2) | Soft Drinks (qty: 2),,,390.00
016691,Completed,08-06-2026 08:33:38 PM,Default Outlet,Dine-in,# 6,08-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,BBQ Chicken (qty: 1) + Large (৳399.00),,,399.00
016690,Completed,08-06-2026 06:42:45 PM,Default Outlet,Dine-in,# 4,08-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,BBQ Chicken (qty: 1) + Medium (৳299.00) | Chocolate Cold Coffee (qty: 1),,,379.00
016689,Completed,08-06-2026 05:56:37 PM,Default Outlet,Dine-in,# 3,08-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,Naga Spicy Chicken (qty: 1) + Medium (৳300.00),,,300.00
016688,Completed,08-06-2026 05:35:50 PM,Default Outlet,Dine-in,# 2,08-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 6,Two Flavour Mixed (qty: 1) + Small (৳200.00),,,200.00
016687,Completed,08-06-2026 01:47:14 PM,Default Outlet,Dine-in,# 1,08-06-2026,Default Shift,Default Terminal,Admin,Admin,,Sausage Pasta (qty: 1) | Fresh Water (qty: 1) | Hot Coffee (qty: 1),,,280.00
016686,Completed,07-06-2026 08:59:34 PM,Default Outlet,Dine-in,# 7,07-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,Delicious Pepperoni (qty: 1) + Large (৳409.00) | Chicken Sausage (qty: 1) + Large (৳389.00) | Soft Drinks (qty: 5) | Fresh Water (qty: 2),,,963.00
016685,Completed,07-06-2026 08:12:20 PM,Default Outlet,Dine-in,# 6,07-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 6,Chicken Shawarma (qty: 1) + Small (৳195.00) | Mexican Hot (qty: 1),,,345.00
016684,Completed,07-06-2026 06:15:42 PM,Default Outlet,Dine-in,# 5,07-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,Two Flavour Mixed (qty: 1) + Medium (৳300.00) | Soft Drinks (qty: 2),,,350.00
016683,Completed,07-06-2026 06:12:40 PM,Default Outlet,Dine-in,# 4,07-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,Two Flavour Mixed (qty: 1) + Small (৳200.00) | Hot Coffee (qty: 2),,,340.00
016682,Completed,07-06-2026 04:17:51 PM,Default Outlet,Dine-in,# 3,07-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,Red Chilli Pasta (qty: 1),,,180.00
016681,Completed,07-06-2026 03:27:06 PM,Default Outlet,Dine-in,# 2,07-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 6,BBQ Chicken (qty: 1) + Small (৳199.00) | Fresh Water (qty: 1),,,219.00
016680,Completed,07-06-2026 02:10:39 PM,Default Outlet,Takeaway,# 1,07-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 6,Calzone (qty: 1) + 6 Slice (৳470.00) | BBQ Rice Bowl (qty: 1),,,590.00
016679,Completed,06-06-2026 10:57:27 PM,Default Outlet,Takeaway,# 15,06-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ &amp; Sausage Combo Offer 9” (qty: 1),,,539.00
016678,Completed,06-06-2026 09:10:28 PM,Default Outlet,Dine-in,# 13,06-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,BBQ Chicken (qty: 1) + Medium (৳299.00) | Fresh Water (qty: 1) | Chocolate Cold Coffee (qty: 1),,,399.00
016677,Completed,06-06-2026 09:03:49 PM,Default Outlet,Takeaway,# 14,06-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Large (৳399.00),,,399.00
016676,Completed,06-06-2026 08:28:26 PM,Default Outlet,Dine-in,# 11,06-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,Sausage Fantasy (qty: 1) + Medium (৳365.00) | Soft Drinks (qty: 1),,,390.00
016675,Deleted,06-06-2026 07:39:37 PM,Default Outlet,Dine-in,# 10,06-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,Two Flavour Mixed (qty: 1) + Medium (৳300.00) | Soft Drinks (qty: 1),,,325.00
016674,Completed,06-06-2026 07:36:20 PM,Default Outlet,Delivery,# 12,06-06-2026,Default Shift,Default Terminal,Admin,Admin,,Two Flavour Mixed (qty: 1) + Medium (৳300.00),,,300.00
016673,Completed,06-06-2026 07:30:36 PM,Default Outlet,Dine-in,# 9,06-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 4,Sausage Pasta (qty: 1) | BBQ Pizza 9&quot;+ 4 Pieces Lolipop+ French Fry (qty: 1) | Fresh Water (qty: 1),,,660.00
016672,Completed,06-06-2026 07:17:03 PM,Default Outlet,Dine-in,# 7,06-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 8,BBQ Pizza 9&quot;+ 4 Pieces Lolipop+ Sausage Fry (qty: 1) | Soft Drinks (qty: 2),,,470.00
016671,Completed,06-06-2026 06:58:12 PM,Default Outlet,Dine-in,# 8,06-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,Pizza Italian (qty: 1) + Medium (৳325.00) | Fresh Water (qty: 1),,,345.00
016670,Completed,06-06-2026 06:41:45 PM,Default Outlet,Delivery,# 6,06-06-2026,Default Shift,Default Terminal,Admin,Admin,,All in one Chicken (qty: 1) + Large (৳455.00) | Sausage Fantasy (qty: 1) + Large (৳465.00),,,920.00
016669,Completed,06-06-2026 06:26:09 PM,Default Outlet,Dine-in,# 5,06-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,Two Flavour Mixed (qty: 1) + Small (৳200.00),,,200.00
016668,Completed,06-06-2026 06:18:52 PM,Default Outlet,Dine-in,# 4,06-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 4,Two Flavour Mixed (qty: 1) + Medium (৳300.00) | Fresh Water (qty: 1),,,320.00
016667,Completed,06-06-2026 06:18:38 PM,Default Outlet,Delivery,# 3,06-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 3) + Small (৳199.00),,,597.00
016666,Completed,06-06-2026 05:30:33 PM,Default Outlet,Dine-in,# 1,06-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 6,Chocolate Cold Coffee (qty: 1),,,80.00
016665,Completed,05-06-2026 10:14:55 PM,Default Outlet,Dine-in,# 10,05-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,Potato Masala Wedges (qty: 1) | Chocolate Cold Coffee (qty: 2),,,259.00
016664,Completed,05-06-2026 09:26:54 PM,Default Outlet,Delivery,# 8,05-06-2026,Default Shift,Default Terminal,Admin,Admin,,Pizza Italian (qty: 1) + Large (৳425.00),,,425.00
016663,Completed,05-06-2026 09:26:45 PM,Default Outlet,Delivery,# 9,05-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),,,199.00
016662,Completed,05-06-2026 09:22:31 PM,Default Outlet,Dine-in,# 7,05-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,"Two Flavour Mixed (qty: 1) + Medium (৳300.00) | Classic Meatball Pizza (qty: 1) + 12"" (৳665.00) | Soft Drinks (qty: 1) | Fresh Water (qty: 1)",Staff Discount,300.00,710.00
016661,Completed,05-06-2026 09:14:18 PM,Default Outlet,Dine-in,# 6,05-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 3,Chocolate Cold Coffee (qty: 2) | Crispy Rice Bowl (qty: 2) | French Fry (qty: 1),Staff Discount,50.00,470.00
016660,Completed,05-06-2026 08:55:19 PM,Default Outlet,Delivery,# 5,05-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Large (৳399.00) | Chicken Sausage (qty: 1) + Large (৳389.00) | Pizza Blast (qty: 1) + 12” (৳399.00),Staff Discount,87.00,"1,100.00"
016659,Completed,05-06-2026 06:59:37 PM,Default Outlet,Dine-in,# 4,05-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 6,Two Flavour Mixed (qty: 1) + Small (৳200.00) | Fresh Water (qty: 1),,,220.00
016658,Completed,05-06-2026 06:37:24 PM,Default Outlet,Delivery,# 3,05-06-2026,Default Shift,Default Terminal,Admin,Admin,,Crispy Rice Bowl (qty: 4) | Cheesy Rice Bowl (qty: 4) | BBQ Rice Bowl (qty: 4),Staff Discount,40.00,"1,400.00"
016657,Completed,05-06-2026 03:52:00 PM,Default Outlet,Dine-in,# 1,05-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Medium (৳299.00) | Soft Drinks (qty: 1),,,324.00
016656,Completed,04-06-2026 10:33:14 PM,Default Outlet,Delivery,# 1,04-06-2026,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 2) + Small (৳199.00),Staff Discount,40.00,358.00
016655,Completed,04-06-2026 10:27:54 PM,Default Outlet,Delivery,# 14,04-06-2026,Default Shift,Default Terminal,Admin,Admin,,Two Flavour Mixed (qty: 1) + Medium (৳300.00),,,300.00
016654,Completed,04-06-2026 10:21:42 PM,Default Outlet,Dine-in,# 12,04-06-2026,Default Shift,Default Terminal,Admin,Admin,Table 1,BBQ &amp; Sausage Combo Offer 9” (qty: 1),,,539.00
